Reference, Value, Footprint, Datasheet
"R2","5.1K","Resistor_SMD:R_0402_1005Metric","~"
"R3","5.1K","Resistor_SMD:R_0402_1005Metric","~"
"J2","SWD","nrfmicro:connector_swd","~"
"J1","USB-C Conn","nrfmicro:USB-C_C168688","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"D2","BLUE","LED_SMD:LED_0603_1608Metric","~"
"R4","1K","Resistor_SMD:R_0402_1005Metric",""
"U4","ProMicro","nrfmicro:pro_micro",""
"J3","Ex_Bat","nrfmicro:connector_bat","~"
"J4","Ex_USB","nrfmicro:connector_usb","~"
"U5","nrf52840_MS88SF3-1Y40AIR","kicad-keyboard-libs:nrf52840_MS88SF3-1Y40AIR",""
"U1","BQ24075","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias","http://www.ti.com/lit/ds/symlink/bq24075.pdf"
"D1","RED","LED_SMD:LED_0603_1608Metric","~"
"R6","1K","Resistor_SMD:R_0402_1005Metric",""
"R5","10K","Resistor_SMD:R_0402_1005Metric",""
"R1","8.9K","Resistor_SMD:R_0402_1005Metric",""
"L1","10uH","Inductor_SMD:L_0402_1005Metric","~"
"C1","4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
"C2","1uF","Capacitor_SMD:C_0402_1005Metric","~"
"C3","4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
"C4","4.7uF","Capacitor_SMD:C_0402_1005Metric","~"
